clip_id	speaker_id	source_codec	source_format	source_sample_rate	source_channels	source_duration_seconds	normalized_codec	normalized_sample_rate	normalized_channels	normalized_duration_seconds
s03_004	s03	opus	ogg	48000	1	10.166500	pcm_s16le	16000	1	10.153500
s03_005	s03	opus	ogg	48000	1	7.186500	pcm_s16le	16000	1	7.173500
s03_006	s03	opus	ogg	48000	1	8.026500	pcm_s16le	16000	1	8.013500
s03_007	s03	opus	ogg	48000	1	9.146500	pcm_s16le	16000	1	9.133500
s03_008	s03	opus	ogg	48000	1	6.586500	pcm_s16le	16000	1	6.573500
s03_009	s03	opus	ogg	48000	1	7.206500	pcm_s16le	16000	1	7.193500
s03_010	s03	opus	ogg	48000	1	7.466500	pcm_s16le	16000	1	7.453500
s03_011	s03	opus	ogg	48000	1	8.146500	pcm_s16le	16000	1	8.133500
s03_012	s03	opus	ogg	48000	1	9.126500	pcm_s16le	16000	1	9.113500
s03_013	s03	opus	ogg	48000	1	7.406500	pcm_s16le	16000	1	7.393500
s03_014	s03	opus	ogg	48000	1	8.986500	pcm_s16le	16000	1	8.973500
s03_015	s03	opus	ogg	48000	1	10.026500	pcm_s16le	16000	1	10.013500
s03_016	s03	opus	ogg	48000	1	5.686500	pcm_s16le	16000	1	5.673500
s03_017	s03	opus	ogg	48000	1	6.746500	pcm_s16le	16000	1	6.733500
s03_018	s03	opus	ogg	48000	1	5.946500	pcm_s16le	16000	1	5.933500
s03_019	s03	opus	ogg	48000	1	7.766500	pcm_s16le	16000	1	7.753500
s03_020	s03	opus	ogg	48000	1	6.706500	pcm_s16le	16000	1	6.693500
s03_021	s03	opus	ogg	48000	1	6.066500	pcm_s16le	16000	1	6.053500
s03_022	s03	opus	ogg	48000	1	8.646500	pcm_s16le	16000	1	8.633500
s03_023	s03	opus	ogg	48000	1	8.286500	pcm_s16le	16000	1	8.273500
s03_024	s03	opus	ogg	48000	1	6.866500	pcm_s16le	16000	1	6.853500
s03_025	s03	opus	ogg	48000	1	6.906500	pcm_s16le	16000	1	6.893500
s03_026	s03	opus	ogg	48000	1	5.366500	pcm_s16le	16000	1	5.353500
s03_027	s03	opus	ogg	48000	1	8.746500	pcm_s16le	16000	1	8.733500
s03_028	s03	opus	ogg	48000	1	4.766500	pcm_s16le	16000	1	4.753500
s03_029	s03	opus	ogg	48000	1	5.226500	pcm_s16le	16000	1	5.213500
s03_030	s03	opus	ogg	48000	1	7.306500	pcm_s16le	16000	1	7.293500
s03_031	s03	opus	ogg	48000	1	5.066500	pcm_s16le	16000	1	5.053500
s03_032	s03	opus	ogg	48000	1	6.446500	pcm_s16le	16000	1	6.433500
s03_033	s03	opus	ogg	48000	1	7.446500	pcm_s16le	16000	1	7.433500
s03_034	s03	opus	ogg	48000	1	7.666500	pcm_s16le	16000	1	7.653500
s03_035	s03	opus	ogg	48000	1	7.806500	pcm_s16le	16000	1	7.793500
s03_036	s03	opus	ogg	48000	1	5.586500	pcm_s16le	16000	1	5.573500
s03_037	s03	opus	ogg	48000	1	7.026500	pcm_s16le	16000	1	7.013500
s03_038	s03	opus	ogg	48000	1	8.566500	pcm_s16le	16000	1	8.553500
s03_039	s03	opus	ogg	48000	1	7.826500	pcm_s16le	16000	1	7.813500
s03_040	s03	opus	ogg	48000	1	8.366500	pcm_s16le	16000	1	8.353500
s04_001	s04	opus	ogg	48000	1	6.386500	pcm_s16le	16000	1	6.373500
s04_002	s04	opus	ogg	48000	1	6.966500	pcm_s16le	16000	1	6.953500
s04_003	s04	opus	ogg	48000	1	5.966500	pcm_s16le	16000	1	5.953500
s04_004	s04	opus	ogg	48000	1	7.486500	pcm_s16le	16000	1	7.473500
s04_005	s04	opus	ogg	48000	1	6.466500	pcm_s16le	16000	1	6.453500
s04_006	s04	opus	ogg	48000	1	5.326500	pcm_s16le	16000	1	5.313500
s04_007	s04	opus	ogg	48000	1	7.486500	pcm_s16le	16000	1	7.473500
s04_008	s04	opus	ogg	48000	1	7.226500	pcm_s16le	16000	1	7.213500
s04_009	s04	opus	ogg	48000	1	6.766500	pcm_s16le	16000	1	6.753500
s04_010	s04	opus	ogg	48000	1	7.566500	pcm_s16le	16000	1	7.553500
s04_011	s04	opus	ogg	48000	1	6.046500	pcm_s16le	16000	1	6.033500
s04_012	s04	opus	ogg	48000	1	5.426500	pcm_s16le	16000	1	5.413500
s04_013	s04	opus	ogg	48000	1	5.666500	pcm_s16le	16000	1	5.653500
s04_014	s04	opus	ogg	48000	1	6.906500	pcm_s16le	16000	1	6.893500
s04_015	s04	opus	ogg	48000	1	6.806500	pcm_s16le	16000	1	6.793500
s04_016	s04	opus	ogg	48000	1	4.646500	pcm_s16le	16000	1	4.633500
s04_017	s04	opus	ogg	48000	1	5.906500	pcm_s16le	16000	1	5.893500
s04_018	s04	opus	ogg	48000	1	5.486500	pcm_s16le	16000	1	5.473500
s04_019	s04	opus	ogg	48000	1	6.246500	pcm_s16le	16000	1	6.233500
s04_020	s04	opus	ogg	48000	1	5.426500	pcm_s16le	16000	1	5.413500
s04_021	s04	opus	ogg	48000	1	5.786500	pcm_s16le	16000	1	5.773500
s04_022	s04	opus	ogg	48000	1	5.026500	pcm_s16le	16000	1	5.013500
s04_023	s04	opus	ogg	48000	1	4.986500	pcm_s16le	16000	1	4.973500
s04_024	s04	opus	ogg	48000	1	5.866500	pcm_s16le	16000	1	5.853500
s04_025	s04	opus	ogg	48000	1	5.646500	pcm_s16le	16000	1	5.633500
s04_026	s04	opus	ogg	48000	1	5.326500	pcm_s16le	16000	1	5.313500
s04_027	s04	opus	ogg	48000	1	7.466500	pcm_s16le	16000	1	7.453500
s04_028	s04	opus	ogg	48000	1	4.086500	pcm_s16le	16000	1	4.073500
s04_029	s04	opus	ogg	48000	1	5.766500	pcm_s16le	16000	1	5.753500
s04_030	s04	opus	ogg	48000	1	4.126500	pcm_s16le	16000	1	4.113500
s04_031	s04	opus	ogg	48000	1	5.026500	pcm_s16le	16000	1	5.013500
s04_032	s04	opus	ogg	48000	1	5.026500	pcm_s16le	16000	1	5.013500
s04_033	s04	opus	ogg	48000	1	5.866500	pcm_s16le	16000	1	5.853500
s04_034	s04	opus	ogg	48000	1	5.566500	pcm_s16le	16000	1	5.553500
s04_035	s04	opus	ogg	48000	1	4.826500	pcm_s16le	16000	1	4.813500
s04_036	s04	opus	ogg	48000	1	5.746500	pcm_s16le	16000	1	5.733500
s04_037	s04	opus	ogg	48000	1	6.886500	pcm_s16le	16000	1	6.873500
s04_038	s04	opus	ogg	48000	1	5.366500	pcm_s16le	16000	1	5.353500
s04_039	s04	opus	ogg	48000	1	6.766500	pcm_s16le	16000	1	6.753500
s04_040	s04	opus	ogg	48000	1	5.246500	pcm_s16le	16000	1	5.233500
s05_001	s05	opus	ogg	48000	1	5.226500	pcm_s16le	16000	1	5.213500
s05_002	s05	opus	ogg	48000	1	6.586500	pcm_s16le	16000	1	6.573500
s05_003	s05	opus	ogg	48000	1	4.266500	pcm_s16le	16000	1	4.253500
s05_004	s05	opus	ogg	48000	1	5.426500	pcm_s16le	16000	1	5.413500
s05_005	s05	opus	ogg	48000	1	4.986500	pcm_s16le	16000	1	4.973500
s05_006	s05	opus	ogg	48000	1	4.606500	pcm_s16le	16000	1	4.593500
s05_007	s05	opus	ogg	48000	1	4.786500	pcm_s16le	16000	1	4.773500
s05_008	s05	opus	ogg	48000	1	5.026500	pcm_s16le	16000	1	5.013500
s05_009	s05	opus	ogg	48000	1	4.706500	pcm_s16le	16000	1	4.693500
s05_010	s05	opus	ogg	48000	1	4.926500	pcm_s16le	16000	1	4.913500
s05_011	s05	opus	ogg	48000	1	4.566500	pcm_s16le	16000	1	4.553500
s05_012	s05	opus	ogg	48000	1	4.206500	pcm_s16le	16000	1	4.193500
s05_013	s05	opus	ogg	48000	1	4.946500	pcm_s16le	16000	1	4.933500
s05_014	s05	opus	ogg	48000	1	5.466500	pcm_s16le	16000	1	5.453500
s05_015	s05	opus	ogg	48000	1	3.786500	pcm_s16le	16000	1	3.773500
s05_016	s05	opus	ogg	48000	1	3.546500	pcm_s16le	16000	1	3.533500
s05_017	s05	opus	ogg	48000	1	5.366500	pcm_s16le	16000	1	5.353500
s05_018	s05	opus	ogg	48000	1	5.606500	pcm_s16le	16000	1	5.593500
s05_019	s05	opus	ogg	48000	1	5.366500	pcm_s16le	16000	1	5.353500
s05_020	s05	opus	ogg	48000	1	4.486500	pcm_s16le	16000	1	4.473500
s05_021	s05	opus	ogg	48000	1	5.106500	pcm_s16le	16000	1	5.093500
s05_022	s05	opus	ogg	48000	1	5.446500	pcm_s16le	16000	1	5.433500
s05_023	s05	opus	ogg	48000	1	5.226500	pcm_s16le	16000	1	5.213500
s05_024	s05	opus	ogg	48000	1	4.926500	pcm_s16le	16000	1	4.913500
s05_025	s05	opus	ogg	48000	1	4.486500	pcm_s16le	16000	1	4.473500
s05_026	s05	opus	ogg	48000	1	6.526500	pcm_s16le	16000	1	6.513500
s05_027	s05	opus	ogg	48000	1	5.126500	pcm_s16le	16000	1	5.113500
s05_028	s05	opus	ogg	48000	1	5.126500	pcm_s16le	16000	1	5.113500
s05_029	s05	opus	ogg	48000	1	5.526500	pcm_s16le	16000	1	5.513500
s05_030	s05	opus	ogg	48000	1	4.406500	pcm_s16le	16000	1	4.393500
s05_031	s05	opus	ogg	48000	1	4.766500	pcm_s16le	16000	1	4.753500
s05_032	s05	opus	ogg	48000	1	4.986500	pcm_s16le	16000	1	4.973500
s05_033	s05	opus	ogg	48000	1	5.306500	pcm_s16le	16000	1	5.293500
s05_034	s05	opus	ogg	48000	1	4.566500	pcm_s16le	16000	1	4.553500
s05_035	s05	opus	ogg	48000	1	4.966500	pcm_s16le	16000	1	4.953500
s05_036	s05	opus	ogg	48000	1	4.406500	pcm_s16le	16000	1	4.393500
s05_037	s05	opus	ogg	48000	1	4.326500	pcm_s16le	16000	1	4.313500
s05_038	s05	opus	ogg	48000	1	4.626500	pcm_s16le	16000	1	4.613500
s05_039	s05	opus	ogg	48000	1	5.046500	pcm_s16le	16000	1	5.033500
s05_040	s05	opus	ogg	48000	1	5.166500	pcm_s16le	16000	1	5.153500
s06_001	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	7.232000	pcm_s16le	16000	1	7.188000
s06_002	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	5.866667	pcm_s16le	16000	1	5.822688
s06_003	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	5.952000	pcm_s16le	16000	1	5.908000
s06_004	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	7.829333	pcm_s16le	16000	1	7.785313
s06_005	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	6.293333	pcm_s16le	16000	1	6.249313
s06_006	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	5.696000	pcm_s16le	16000	1	5.652000
s06_007	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	5.440000	pcm_s16le	16000	1	5.396000
s06_008	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	5.610667	pcm_s16le	16000	1	5.566688
s06_009	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	6.037333	pcm_s16le	16000	1	5.993313
s06_010	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	5.781333	pcm_s16le	16000	1	5.737313
s06_011	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	5.952000	pcm_s16le	16000	1	5.908000
s06_012	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	4.757333	pcm_s16le	16000	1	4.713313
s06_013	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	5.952000	pcm_s16le	16000	1	5.908000
s06_014	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	5.866667	pcm_s16le	16000	1	5.822688
s06_015	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	6.037333	pcm_s16le	16000	1	5.993313
s06_016	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	6.890667	pcm_s16le	16000	1	6.846688
s06_017	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	5.525333	pcm_s16le	16000	1	5.481313
s06_018	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	5.440000	pcm_s16le	16000	1	5.396000
s06_019	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	6.293333	pcm_s16le	16000	1	6.249313
s06_020	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	4.757333	pcm_s16le	16000	1	4.713313
s06_021	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	6.634667	pcm_s16le	16000	1	6.590688
s06_022	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	5.354667	pcm_s16le	16000	1	5.310688
s06_023	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	5.184000	pcm_s16le	16000	1	5.140000
s06_024	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	5.269333	pcm_s16le	16000	1	5.225313
s06_025	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	7.488000	pcm_s16le	16000	1	7.444000
s06_026	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	5.354667	pcm_s16le	16000	1	5.310688
s06_027	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	4.586667	pcm_s16le	16000	1	4.542688
s06_028	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	5.781333	pcm_s16le	16000	1	5.737313
s06_029	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	7.488000	pcm_s16le	16000	1	7.444000
s06_030	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	5.354667	pcm_s16le	16000	1	5.310688
s06_031	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	5.013333	pcm_s16le	16000	1	4.969313
s06_032	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	4.672000	pcm_s16le	16000	1	4.628000
s06_033	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	7.402667	pcm_s16le	16000	1	7.358688
s06_034	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	5.781333	pcm_s16le	16000	1	5.737313
s06_035	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	5.781333	pcm_s16le	16000	1	5.737313
s06_036	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	6.805333	pcm_s16le	16000	1	6.761313
s06_037	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	6.805333	pcm_s16le	16000	1	6.761313
s06_038	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	6.037333	pcm_s16le	16000	1	5.993313
s06_039	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	5.184000	pcm_s16le	16000	1	5.140000
s06_040	s06	aac	mov,mp4,m4a,3gp,3g2,mj2	48000	1	5.952000	pcm_s16le	16000	1	5.908000
