clip_id	audio_path	reference_text	terms
tsb_v1_030	data/v1-small/tsb_v1-small-train/tsb_v1_030.m4a	The LlamaIndex connector should refresh OAuth credentials before requesting the private document.	LlamaIndex;OAuth
tsb_v1_031	data/v1-small/tsb_v1-small-train/tsb_v1_031.m4a	The Pandas export changed column order, so verify the NumPy feature matrix before training.	NumPy;Pandas
tsb_v1_032	data/v1-small/tsb_v1-small-train/tsb_v1_032.m4a	Bridge the gRPC worker behind FastAPI and keep the request timeout under ten seconds.	gRPC;FastAPI
tsb_v1_033	data/v1-small/tsb_v1-small-train/tsb_v1_033.m4a	Put the test-only dependency in requirements.txt and make Git ignore the generated cache.	requirements.txt;Git
tsb_v1_034	data/v1-small/tsb_v1-small-train/tsb_v1_034.m4a	The cron task should publish one RabbitMQ message per day, no, actually one per dataset shard.	RabbitMQ;cron
tsb_v1_035	data/v1-small/tsb_v1-small-train/tsb_v1_035.m4a	Pull the embedding model from HuggingFace and store the local experiment results in ChromaDB.	HuggingFace;ChromaDB
tsb_v1_036	data/v1-small/tsb_v1-small-train/tsb_v1_036.m4a	package.json should mark the Node.js script as module type before the import cleanup.	package.json;Node.js
tsb_v1_037	data/v1-small/tsb_v1-small-train/tsb_v1_037.m4a	DeepSpeech struggles with code words, while Whisper keeps the sentence structure mostly intact.	DeepSpeech;Whisper
tsb_v1_038	data/v1-small/tsb_v1-small-train/tsb_v1_038.m4a	Uvicorn accepts the request before PostgreSQL finishes the migration lock, causing a startup race.	Uvicorn;PostgreSQL
tsb_v1_039	data/v1-small/tsb_v1-small-train/tsb_v1_039.m4a	Keep the PyTorch and TensorFlow experiments in separate folders so the metrics stay comparable.	PyTorch;TensorFlow
tsb_v1_040	data/v1-small/tsb_v1-small-train/tsb_v1_040.m4a	curl the endpoint with the .env token loaded from the local shell session.	curl;.env
