clip_id	speaker_id	split	condition	category	audio_path	duration_seconds	size_bytes	transcript_status
tsb_v0_027	anshul	dev	quiet	agent_systems	audio/raw/tsb_v0_027.m4a	4.76	81909	expected_reference_from_plan
tsb_v0_028	anshul	dev	quiet	agent_systems	audio/raw/tsb_v0_028.m4a	7.83	130810	expected_reference_from_plan
tsb_v0_029	anshul	dev	quiet	agent_systems	audio/raw/tsb_v0_029.m4a	3.73	63876	expected_reference_from_plan
tsb_v0_030	anshul	dev	quiet	agent_systems	audio/raw/tsb_v0_030.m4a	3.65	61307	expected_reference_from_plan
tsb_v0_031	anshul	dev	quiet	vector_database	audio/raw/tsb_v0_031.m4a	5.70	95528	expected_reference_from_plan
tsb_v0_032	anshul	dev	quiet	vector_database	audio/raw/tsb_v0_032.m4a	5.35	89626	expected_reference_from_plan
tsb_v0_033	anshul	dev	quiet	vector_database	audio/raw/tsb_v0_033.m4a	4.67	79207	expected_reference_from_plan
tsb_v0_034	anshul	dev	quiet	vector_database	audio/raw/tsb_v0_034.m4a	5.27	89709	expected_reference_from_plan
tsb_v0_035	anshul	dev	quiet	vector_database	audio/raw/tsb_v0_035.m4a	5.10	84689	expected_reference_from_plan
tsb_v0_036	anshul	dev	quiet	vector_database	audio/raw/tsb_v0_036.m4a	4.67	77074	expected_reference_from_plan
tsb_v0_037	anshul	dev	quiet	vector_database	audio/raw/tsb_v0_037.m4a	5.10	85483	expected_reference_from_plan
tsb_v0_038	anshul	dev	quiet	vector_database	audio/raw/tsb_v0_038.m4a	3.22	55670	expected_reference_from_plan
tsb_v0_039	anshul	dev	quiet	vector_database	audio/raw/tsb_v0_039.m4a	4.59	77607	expected_reference_from_plan
tsb_v0_040	anshul	dev	quiet	vector_database	audio/raw/tsb_v0_040.m4a	5.27	87676	expected_reference_from_plan
tsb_v0_041	anshul	dev	quiet	commands_files	audio/raw/tsb_v0_041.m4a	8.09	138493	expected_reference_from_plan
tsb_v0_042	anshul	dev	quiet	commands_files	audio/raw/tsb_v0_042.m4a	4.42	74179	expected_reference_from_plan
tsb_v0_043	anshul	dev	quiet	commands_files	audio/raw/tsb_v0_043.m4a	5.01	84439	expected_reference_from_plan
tsb_v0_044	anshul	dev	quiet	commands_files	audio/raw/tsb_v0_044.m4a	5.10	85274	expected_reference_from_plan
tsb_v0_045	anshul	dev	quiet	commands_files	audio/raw/tsb_v0_045.m4a	6.21	103750	expected_reference_from_plan
tsb_v0_046	anshul	dev	quiet	commands_files	audio/raw/tsb_v0_046.m4a	6.81	113881	expected_reference_from_plan
tsb_v0_047	anshul	dev	quiet	commands_files	audio/raw/tsb_v0_047.m4a	5.27	87551	expected_reference_from_plan
tsb_v0_048	anshul	dev	quiet	commands_files	audio/raw/tsb_v0_048.m4a	4.42	75373	expected_reference_from_plan
tsb_v0_049	anshul	dev	quiet	commands_files	audio/raw/tsb_v0_049.m4a	4.67	78055	expected_reference_from_plan
tsb_v0_050	anshul	dev	quiet	commands_files	audio/raw/tsb_v0_050.m4a	5.01	83662	expected_reference_from_plan
tsb_v0_051	anshul	dev	quiet	technical_notes_issues	audio/raw/tsb_v0_051.m4a	6.55	112178	expected_reference_from_plan
tsb_v0_052	anshul	dev	quiet	technical_notes_issues	audio/raw/tsb_v0_052.m4a	8.26	135673	expected_reference_from_plan
tsb_v0_053	anshul	dev	quiet	technical_notes_issues	audio/raw/tsb_v0_053.m4a	6.81	115540	expected_reference_from_plan
tsb_v0_054	anshul	dev	quiet	technical_notes_issues	audio/raw/tsb_v0_054.m4a	6.55	109286	expected_reference_from_plan
tsb_v0_055	anshul	dev	quiet	technical_notes_issues	audio/raw/tsb_v0_055.m4a	7.06	119701	expected_reference_from_plan
tsb_v0_056	anshul	dev	quiet	technical_notes_issues	audio/raw/tsb_v0_056.m4a	7.66	126433	expected_reference_from_plan
tsb_v0_057	anshul	dev	quiet	technical_notes_issues	audio/raw/tsb_v0_057.m4a	5.95	98864	expected_reference_from_plan
tsb_v0_058	anshul	dev	quiet	technical_notes_issues	audio/raw/tsb_v0_058.m4a	5.01	84070	expected_reference_from_plan
tsb_v0_059	anshul	dev	quiet	technical_notes_issues	audio/raw/tsb_v0_059.m4a	5.53	92491	expected_reference_from_plan
tsb_v0_060	anshul	dev	quiet	technical_notes_issues	audio/raw/tsb_v0_060.m4a	5.35	89944	expected_reference_from_plan
tsb_v0_061	anshul	dev	quiet	messy_corrections	audio/raw/tsb_v0_061.m4a	6.63	110795	expected_reference_from_plan
tsb_v0_062	anshul	dev	quiet	messy_corrections	audio/raw/tsb_v0_062.m4a	7.66	128153	expected_reference_from_plan
tsb_v0_063	anshul	dev	quiet	messy_corrections	audio/raw/tsb_v0_063.m4a	6.46	112396	expected_reference_from_plan
tsb_v0_064	anshul	dev	quiet	messy_corrections	audio/raw/tsb_v0_064.m4a	8.09	138073	expected_reference_from_plan
tsb_v0_065	anshul	dev	quiet	messy_corrections	audio/raw/tsb_v0_065.m4a	5.70	96082	expected_reference_from_plan
tsb_v0_066	anshul	dev	quiet	messy_corrections	audio/raw/tsb_v0_066.m4a	7.66	131026	expected_reference_from_plan
tsb_v0_067	anshul	dev	quiet	messy_corrections	audio/raw/tsb_v0_067.m4a	8.09	138994	expected_reference_from_plan
tsb_v0_068	anshul	dev	quiet	messy_corrections	audio/raw/tsb_v0_068.m4a	5.61	94044	expected_reference_from_plan
tsb_v0_069	anshul	dev	quiet	messy_corrections	audio/raw/tsb_v0_069.m4a	6.29	104768	expected_reference_from_plan
tsb_v0_070	anshul	dev	quiet	messy_corrections	audio/raw/tsb_v0_070.m4a	7.74	131588	expected_reference_from_plan
tsb_v0_071	anshul	dev	mild_noise_or_alt_device	software_engineering	audio/raw/tsb_v0_071.m4a	11.16	188517	expected_reference_from_plan
tsb_v0_072	anshul	dev	mild_noise_or_alt_device	software_engineering	audio/raw/tsb_v0_072.m4a	5.01	86170	expected_reference_from_plan
tsb_v0_073	anshul	dev	mild_noise_or_alt_device	software_engineering	audio/raw/tsb_v0_073.m4a	5.78	95462	expected_reference_from_plan
tsb_v0_074	anshul	dev	mild_noise_or_alt_device	software_engineering	audio/raw/tsb_v0_074.m4a	7.40	124400	expected_reference_from_plan
tsb_v0_075	anshul	dev	mild_noise_or_alt_device	software_engineering	audio/raw/tsb_v0_075.m4a	6.81	115483	expected_reference_from_plan
tsb_v0_076	anshul	dev	mild_noise_or_alt_device	software_engineering	audio/raw/tsb_v0_076.m4a	6.55	110855	expected_reference_from_plan
tsb_v0_077	anshul	dev	mild_noise_or_alt_device	software_engineering	audio/raw/tsb_v0_077.m4a	5.87	98613	expected_reference_from_plan
tsb_v0_078	anshul	dev	mild_noise_or_alt_device	software_engineering	audio/raw/tsb_v0_078.m4a	8.85	148043	expected_reference_from_plan
tsb_v0_079	anshul	dev	mild_noise_or_alt_device	software_engineering	audio/raw/tsb_v0_079.m4a	7.15	119523	expected_reference_from_plan
tsb_v0_080	anshul	dev	mild_noise_or_alt_device	software_engineering	audio/raw/tsb_v0_080.m4a	7.49	124405	expected_reference_from_plan
tsb_v0_081	anshul	dev_stress	mild_noise_or_alt_device	natural_technical_thinking	audio/raw/tsb_v0_081.m4a	7.40	123543	expected_reference_from_plan
tsb_v0_082	anshul	dev_stress	mild_noise_or_alt_device	natural_technical_thinking	audio/raw/tsb_v0_082.m4a	6.12	103306	expected_reference_from_plan
tsb_v0_083	anshul	dev_stress	mild_noise_or_alt_device	natural_technical_thinking	audio/raw/tsb_v0_083.m4a	5.27	88820	expected_reference_from_plan
tsb_v0_084	anshul	dev_stress	mild_noise_or_alt_device	natural_technical_thinking	audio/raw/tsb_v0_084.m4a	6.04	102992	expected_reference_from_plan
tsb_v0_085	anshul	dev_stress	mild_noise_or_alt_device	natural_technical_thinking	audio/raw/tsb_v0_085.m4a	8.34	139484	expected_reference_from_plan
tsb_v0_086	anshul	dev_stress	mild_noise_or_alt_device	natural_technical_thinking	audio/raw/tsb_v0_086.m4a	6.63	110506	expected_reference_from_plan
tsb_v0_087	anshul	dev_stress	mild_noise_or_alt_device	natural_technical_thinking	audio/raw/tsb_v0_087.m4a	6.81	111792	expected_reference_from_plan
tsb_v0_088	anshul	dev_stress	mild_noise_or_alt_device	natural_technical_thinking	audio/raw/tsb_v0_088.m4a	8.00	133508	expected_reference_from_plan
tsb_v0_089	anshul	dev_stress	mild_noise_or_alt_device	natural_technical_thinking	audio/raw/tsb_v0_089.m4a	6.46	106658	expected_reference_from_plan
tsb_v0_090	anshul	dev_stress	mild_noise_or_alt_device	natural_technical_thinking	audio/raw/tsb_v0_090.m4a	7.06	116201	expected_reference_from_plan
tsb_v0_091	anshul	heldout	quiet	heldout_stress	audio/raw/tsb_v0_091.m4a	7.66	127031	expected_reference_from_plan
tsb_v0_092	anshul	heldout	quiet	heldout_stress	audio/raw/tsb_v0_092.m4a	7.32	121480	expected_reference_from_plan
tsb_v0_093	anshul	heldout	quiet	heldout_stress	audio/raw/tsb_v0_093.m4a	7.32	122909	expected_reference_from_plan
tsb_v0_094	anshul	heldout	quiet	heldout_stress	audio/raw/tsb_v0_094.m4a	6.63	110687	expected_reference_from_plan
tsb_v0_095	anshul	heldout	quiet	heldout_stress	audio/raw/tsb_v0_095.m4a	7.15	120971	expected_reference_from_plan
tsb_v0_096	anshul	heldout	quiet	heldout_stress	audio/raw/tsb_v0_096.m4a	6.04	101884	expected_reference_from_plan
tsb_v0_097	anshul	heldout	quiet	heldout_stress	audio/raw/tsb_v0_097.m4a	7.15	120009	expected_reference_from_plan
tsb_v0_098	anshul	heldout	quiet	heldout_stress	audio/raw/tsb_v0_098.m4a	5.61	97505	expected_reference_from_plan
tsb_v0_099	anshul	heldout	quiet	heldout_stress	audio/raw/tsb_v0_099.m4a	5.78	97565	expected_reference_from_plan
tsb_v0_100	anshul	heldout	quiet	heldout_stress	audio/raw/tsb_v0_100.m4a	7.49	124647	expected_reference_from_plan
